Symbol	chrom	start	end	entrez_id
TLX1NB	chr10	101089321	101131126	100038246
NAALADL1	chr11	65044818	65058549	10004
CDKN2B-AS1	chr9	21802636	22121097	100048912
SIGLEC14	chr19	51642553	51646801	100049587
LOC100049716	chr12	630891	663706	100049716
ACOT8	chr20	45841721	45857406	10005
ABI1	chr10	26746593	26861087	10006
GNPDA1	chr5	141991749	142013041	10007
MIMT1	chr19	56840902	56848556	100073347
KCNE3	chr11	74454841	74467729	10008
ZBTB33	chrX	120250752	120258398	10009
SNHG8	chr4	118278709	118279823	100093630
GS1-600G8.3	chrX	13310652	13319933	100093698
CDH3	chr16	68644836	68722616	1001
TANK	chr2	161136908	161236221	10010
POM121C	chr7	75416787	75486271	100101267
ZSCAN30	chr18	35251058	35290245	100101467
ANKRD26P3	chr13	19262797	19263873	100101938
SRA1	chr5	140537340	140558310	10011
SNORD121A	chr9	33952769	33952850	100113379
SNORD125	chr22	29333163	29333258	100113380
SNORD19B	chr3	52690744	52690827	100113381
SNORD105B	chr19	10109757	10109835	100113382
SNORD123	chr5	9548836	9548905	100113384
SNORD127	chr14	45110883	45110968	100113389
SNORD126	chr14	20326450	20326526	100113391
SNORD11B	chr2	202291332	202291421	100113392
SNORD12B	chr20	49280319	49280409	100113393
SNORD111B	chr16	70529509	70529588	100113402
LIN28B-AS1	chr6	104936294	104940527	100113403
LINC00583	chr9	13927971	13945610	100113404
TMEM170B	chr6	11538278	11583524	100113407
FAM138E	chr15	101954885	101956412	100124412
SNORD58C	chr18	49489245	49489308	100124516
SNORA84	chr9	92292461	92292593	100124534
SNORA36C	chr2	69520040	69520174	100124535
SNORA38B	chr17	67740669	67740799	100124536
SNORA70B	chr2	61417244	61417378	100124537
SNORA70C	chr9	117181066	117181200	100124538
SNORA11B	chr14	91126425	91126553	100124539
SNORA11C	chrX	47388649	47388777	100124540
HOTAIR	chr12	53962308	53974956	100124700
ZGLP1	chr19	10304803	10309880	100125288
FMR1-AS1	chrX	147909431	147911817	100126270
MIR298	chr20	58818226	58818313	100126296
MIR300	chr14	101041363	101041445	100126297
VTRNA2-1	chr5	136080471	136080597	100126299
MIR450B	chrX	134540161	134540272	100126302
MIR890	chrX	145994275	145994351	100126303
MIR891B	chrX	146001053	146001131	100126304
MIR888	chrX	145994784	145994860	100126306
MIR892B	chrX	145997198	145997274	100126307
MIR541	chr14	101064495	101064578	100126308
MIR875	chr8	99536786	99536861	100126309
MIR876	chr9	28863626	28863706	100126310
MIR147B	chr15	45433050	45433129	100126311
MIR744	chr17	12081899	12081996	100126313
MIR873	chr9	28888856	28888965	100126316
MIR374B	chrX	74218517	74218628	100126317
MIR301B	chr22	21652981	21653058	100126318
MIR216B	chr2	56000714	56000795	100126319
MIR920	chr12	24212421	24212495	100126320
MIR922	chr3	197674496	197674576	100126321
MIR934	chrX	136550878	136550960	100126324
MIR935	chr19	53982307	53982397	100126325
MIR936	chr10	104048089	104048186	100126326
MIR938	chr10	29602264	29602346	100126327
MIR940	chr16	2271737	2271846	100126328
MIR941-1	chr20	63919393	63919576	100126329
MIR942	chr1	117094643	117094728	100126331
MIR943	chr4	1986384	1986477	100126332
MIR708	chr11	79402022	79402109	100126333
MIR885	chr3	10394481	10394540	100126334
MIR543	chr14	101031963	101032070	100126335
MIR208B	chr14	23417987	23418063	100126336
MIR509-3	chrX	147259652	147259726	100126337
MIR941-2	chr20	63919617	63919939	100126339
MIR944	chr3	189829922	189830009	100126340
MIR891A	chrX	146027794	146027872	100126341
MIR892A	chrX	145996669	145996743	100126342
MIR874	chr5	137647562	137647673	100126343
MIR889	chr14	101047879	101047988	100126345
MIR190B	chr1	154193642	154193753	100126346
MIR887	chr5	15935159	15935272	100126347
MIR760	chr1	93846810	93846917	100126348
MIR921	chr1	166154743	166154798	100126349
MIR933	chr2	175167633	175167709	100126350
MIR939	chr8	144394149	144394230	100126351
MIR297	chr4	110860582	110860647	100126354
MIR365A	chr16	14309270	14309380	100126355
MIR365B	chr17	31575411	31575521	100126356
LINC00322	chr21	43322417	43332039	100126693
LOC100126784	chr11	19710934	19712619	100126784
EGOT	chr3	4749192	4751590	100126791
GHRLOS	chr3	10285754	10293449	100126793
MINAR2	chr5	129748079	129766732	100127206
SLCO4A1-AS1	chr20	62663019	62666724	100127888
HECW1-IT1	chr7	43117896	43163187	100127950
KRT73-AS1	chr12	52601467	52615305	100127967
C8orf88	chr8	90958637	90985257	100127983
LOC100128006	chr17	12760140	12790242	100128006
WWTR1-AS1	chr3	149658210	149661364	100128025
PLCE1-AS1	chr10	94279277	94287478	100128054
SMARCA5-AS1	chr4	143513472	143514635	100128055
FAM229A	chr1	32361270	32364278	100128071
JAZF1-AS1	chr7	28180322	28243917	100128081
ST8SIA6-AS1	chr10	17386936	17410631	100128098
HGC6.3	chr6	167975924	167976939	100128124
STAU2-AS1	chr8	73420004	73441526	100128126
ADGRA1-AS1	chr10	133083073	133086697	100128127
LINC01233	chr19	22532626	22533494	100128139
LOC100128164	chr3	169939353	169966734	100128164
UST-AS1	chr6	148955628	148964684	100128176
TMPO-AS1	chr12	98512973	98516422	100128191
LINC02324	chr14	65212893	65222347	100128233
LOC100128239	chr11	134032272	134046849	100128239
ZNF667-AS1	chr19	56477603	56500666	100128252
HTR5A-AS1	chr7	155067067	155071557	100128264
DNM1P35	chr15	75727670	75738623	100128285
LOC100128317	chr7	81576386	81626216	100128317
TRAPPC3L	chr6	116494989	116545610	100128327
FAM225B	chr9	113103338	113111500	100128385
LOC100128386	chr11	100684162	100687955	100128386
LOC100128398	chr19	58002061	58011232	100128398
LINC00892	chrX	136639543	136642429	100128420
LOC100128494	chr11	72014291	72020910	100128494
C20orf78	chr20	18809728	18830153	100128496
ASTN2-AS1	chr9	116504283	116562293	100128505
NEBL-AS1	chr10	21174014	21175048	100128511
LOC100128531	chr22	25102433	25112692	100128531
MIR29B2CHG	chr1	207801518	207869150	100128537
LINC02347	chr12	126442481	126472790	100128554
MYHAS	chr17	10383132	10623886	100128560
LOC100128568	chr19	5978403	6020363	100128568
C19orf71	chr19	3539154	3544030	100128569
SLC8A1-AS1	chr2	39786453	40255209	100128590
ACVR2B-AS1	chr3	38451027	38454820	100128640
HPN-AS1	chr19	35059059	35106304	100128675
LINC01531	chr19	35399511	35419385	100128682
GPR50-AS1	chrX	151175192	151177836	100128688
LINC02346	chr15	25902360	26053120	100128714
OST4	chr2	27070472	27071773	100128731
RBPMS-AS1	chr8	30382119	30385401	100128750
LOC100128770	chr16	3032481	3039133	100128770
LINC00476	chr9	95759231	95875977	100128782
LINC01349	chr1	100627049	100640613	100128787
SRRM2-AS1	chr16	2737076	2752600	100128788
GPR158-AS1	chr10	25158072	25176276	100128811
LINC01003	chr7	152463786	152465549	100128822
VPS9D1-AS1	chr16	89711856	89718165	100128881
GATA6-AS1	chr18	22166898	22168968	100128893
ZBTB42	chr14	104800913	104804712	100128927
LINC01310	chr22	48866770	48898386	100128946
LOC100128993	chr8	19084992	19259469	100128993
LOC100129027	chr21	45827961	45836419	100129027
PKP4-AS1	chr2	158658337	158735002	100129029
LOC100129046	chr1	93592199	93605573	100129046
LOC100129055	chr10	38164648	38212357	100129055
SEMA3F-AS1	chr3	50116022	50156085	100129060
UNQ6494	chr9	89639814	89719759	100129066
KTN1-AS1	chr14	55499278	55580110	100129075
LOC100129083	chr19	51415724	51417425	100129083
KHDC1L	chr6	73223544	73225770	100129128
LOC100129175	chr2	219002215	219015721	100129175
ZSCAN16-AS1	chr6	28121795	28137293	100129195
MATN1-AS1	chr1	30718504	30726827	100129196
LOC100129203	chr11	95151746	95234104	100129203
SLC39A12-AS1	chr10	18001786	18010562	100129213
DEFB131B	chr11	71878453	71884561	100129216
SMIM27	chr9	32551144	32567005	100129250
LINC01160	chr1	111599655	111608723	100129269
C1orf68	chr1	152719522	152720470	100129271
TDRD15	chr2	21123917	21143272	100129278
LINC02291	chr14	97632647	97686658	100129345
LINC00484	chr9	91119062	91182762	100129347
C9orf92	chr9	16203935	16276313	100129385
GABPB1-AS1	chr15	50354959	50356034	100129387
MSTO2P	chr1	155610205	155614052	100129405
DDC-AS1	chr7	50531759	50543463	100129427
LOC100129434	chr2	56173534	56185770	100129434
LYRM4-AS1	chr6	5029972	5043449	100129461
LINC01546	chrX	3271820	3284653	100129464
MKRN2OS	chr3	12514934	12561059	100129480
ETDB	chrX	135118955	135120526	100129515
SOD2-OT1	chr6	159760258	159762332	100129518
TEX13C	chrX	125320120	125325214	100129520
ZNF730	chr19	23075210	23147219	100129543
LINC02035	chr3	122886941	122892416	100129550
FAM47E	chr4	76214040	76283780	100129583
LINC00462	chr13	48576974	48578088	100129597
LOC100129603	chr7	3140234	3174654	100129603
LOC100129620	chr1	99004276	99148852	100129620
TCF24	chr8	66946501	66962590	100129654
FGF13-AS1	chrX	138711452	138716617	100129662
IZUMO3	chr9	24542952	24545946	100129669
LOC100129697	chr16	88939789	88951524	100129697
ARRDC3-AS1	chr5	91380349	91439085	100129716
STPG3-AS1	chr9	137250219	137253497	100129722
LINC01126	chr2	43227210	43228855	100129726
MIR193BHG	chr16	14301389	14326744	100129781
CCDC152	chr5	42756801	42802360	100129792
SLC25A21-AS1	chr14	37171888	37173811	100129794
MRVI1-AS1	chr11	10541272	10599932	100129827
COL4A2-AS2	chr13	110456396	110463287	100129836
ZNF737	chr19	20543431	20565809	100129842
PCOLCE-AS1	chr7	100589402	100604206	100129845
SCOC-AS1	chr4	140283724	140373381	100129858
LOC100129917	chr4	762387	781849	100129917
TMEM269	chr1	42787990	42798230	100129924
LOC100129931	chr4	7030554	7046231	100129931
LOC100129940	chr12	65851340	65882167	100129940
CCNT2-AS1	chr2	134735464	134918710	100129961
FAM205C	chr9	34889064	34895778	100129969
CERNA1	chr15	52180093	52205874	100129973
LINC01460	chr2	27705786	27715732	100129995
HDAC6	chrX	48801995	48824982	10013
LOC100130111	chr15	29674990	29679168	100130111
MIR124-2HG	chr8	64373328	64383787	100130155
LOC100130172	chr5	138032774	138037266	100130172
EFCAB14-AS1	chr1	46674036	46692098	100130197
LINC00861	chr8	125922308	125951249	100130231
LOC100130238	chr12	132275391	132280900	100130238
LOC100130264	chr20	19242302	19284596	100130264
TFAP2A-AS1	chr6	10409340	10416446	100130275
LOC100130298	chr8	60965802	60967775	100130298
C8orf89	chr8	73241329	73259502	100130301
C17orf107	chr17	4899418	4902932	100130311
LOC100130331	chr1	237862175	237928321	100130331
SCGB2B3P	chr19	34645380	34646838	100130342
TMEM262	chr11	65088372	65089375	100130348
LOC100130357	chr6	13273391	13295586	100130357
LOC100130370	chr17	81376001	81385360	100130370
LINC02593	chr1	916870	919692	100130417
CECR7	chr22	17036570	17060825	100130418
LOC100130449	chr2	240449418	240456714	100130449
LOC100130451	chr2	213276552	213284205	100130451
CAND1.11	chr11	10308313	10410838	100130460
LOC100130476	chr6	137823673	137868233	100130476
LINC01387	chr18	6511416	6590653	100130480
TMEM221	chr19	17435509	17448567	100130519
PARD6G-AS1	chr18	80147924	80178432	100130522
C10orf142	chr10	44292569	44294649	100130539
LOC100130548	chr9	134054290	134058805	100130548
NFYC-AS1	chr1	40690380	40692066	100130557
LINC00910	chr17	43369845	43388545	100130581
LOC100130587	chr20	63359988	63371177	100130587
PRR32	chrX	126819764	126821786	100130613
LOC100130691	chr2	177283508	177392691	100130691
TP53TG3HP	chr16	35505093	35506462	100130700
ATP6V1FNB	chr7	128866579	128872044	100130705
HDHD5-AS1	chr22	17159384	17165445	100130717
LRRC70	chr5	62561136	62581467	100130733
LRRC69	chr8	91102619	91219236	100130742
EFCAB10	chr7	105565120	105600875	100130771
AGAP2-AS1	chr12	57726271	57728356	100130776
SBK3	chr19	55540656	55545543	100130827
USP3-AS1	chr15	63556642	63601589	100130855
LOC100130872	chr4	1172049	1208962	100130872
LOC100130880	chr7	137953348	137957966	100130880
ATE1-AS1	chr10	121928312	121951965	100130887
TSTD3	chr6	99520693	99531918	100130890
VAC14-AS1	chr16	70755098	70773251	100130894
SMIM6	chr17	75646243	75647977	100130933
LOC100130950	chr17	5192084	5248069	100130950
LINC01502	chr9	135574935	135587112	100130954
SYCE1L	chr16	77199397	77213215	100130958
LOC100130964	chr8	39566705	39580134	100130964
C6orf99	chr6	158869939	158910353	100130967
LOC100130987	chr11	67317871	67392074	100130987
SPATA48	chr7	50096036	50159830	100130988
LOC100130992	chr10	22252072	22258548	100130992
ZNF316	chr7	6637322	6656432	100131017
LOC100131047	chr6	38923029	38953099	100131047
LINC01135	chr1	58785160	58899594	100131060
CKMT2-AS1	chr5	81204084	81301560	100131067
SRP14-AS1	chr15	40039311	40067290	100131089
DPP9-AS1	chr19	4679282	4685948	100131094
TNRC6C-AS1	chr17	78107398	78111799	100131096
ZBTB20-AS1	chr3	114351811	114388978	100131117
BSPH1	chr19	47968046	47992170	100131137
LINC01405	chr12	110936585	110958208	100131138
WDR86-AS1	chr7	151409161	151413354	100131176
TSTD1	chr1	161037631	161038990	100131187
CCDC183-AS1	chr9	136803927	136808848	100131193
SNAP25-AS1	chr20	10021978	10368776	100131208
NEMP2	chr2	190504342	190534722	100131211
ZNF503-AS2	chr10	75401519	75408982	100131213
MIR181A1HG	chr1	198807493	198937429	100131234
ANKRD63	chr15	40281444	40282586	100131244
DPEP2NB	chr16	68013436	68015911	100131303
LOC100131315	chr15	32718101	32718854	100131315
LINC00605	chr14	103187221	103189028	100131366
C11orf91	chr11	33698261	33700801	100131378
SP9	chr2	174334946	174338492	100131390
LINC00893	chrX	149498187	149540959	100131434
CD300LD	chr17	74579365	74592283	100131439
LOC100131496	chr20	47318502	47320754	100131496
ZNF705E	chr11	71807591	71818238	100131539
LINC00887	chr3	194296465	194312803	100131551
CCDC18-AS1	chr1	93262186	93346025	100131564
LOC100131635	chr3	187702313	187733849	100131635
ZNF236-DT	chr18	76794732	76822295	100131655
MZF1-AS1	chr19	58559129	58574797	100131691
FAM83A-AS1	chr8	123201172	123202743	100131726
USP30-AS1	chr12	109052350	109053952	100131733
ARMCX4	chrX	101418287	101533459	100131755
PET100	chr19	7629737	7631956	100131801
LINC00271	chr6	135497801	135716055	100131814
CADM3-AS1	chr1	159194325	159207973	100131825
ZNF717	chr3	75709643	75785583	100131827
INSYN2B	chr5	169864264	169980740	100131897
KRTAP25-1	chr21	30289145	30289514	100131902
RRN3P3	chr16	22349372	22437165	100131998
LOC100132057	chr1	148402516	148432545	100132057
FOXO6	chr1	41361922	41383590	100132074
LOC100132077	chr9	94332476	94360948	100132077
LOC100132078	chr11	111414242	111418186	100132078
FAM66E	chr8	7955014	8008755	100132103
C2CD4D-AS1	chr1	151841877	151850385	100132111
ACTA2-AS1	chr10	88932390	88940340	100132116
FAM240A	chr3	46581150	46626543	100132146
CALML3-AS1	chr10	5514244	5526246	100132159
PHKA2-AS1	chrX	18890296	18894497	100132163
WASIR2	chr16	22910	25123	100132169
LINC01987	chr17	77722872	77728559	100132174
LOC100132215	chr2	63043922	63048640	100132215
LINC00543	chr13	27953526	27955370	100132234
NPIPB5	chr16	22479121	22536521	100132247
FAM236B	chrX	72938163	72938958	100132304
ZNF705B	chr8	7926337	7952413	100132396
FAM157B	chr9	138216187	138252994	100132403
NBPF10	chr1	146064699	146229000	100132406
CLDN24	chr4	183321764	183322426	100132463
KRTAP4-7	chr17	41084150	41085141	100132476
TAT-AS1	chr16	71565789	71578187	100132529
XGY2	chrX	2752296	2774996	100132596
ZRANB2-AS1	chr1	71048855	71067184	100132618
BSN-DT	chr3	49549306	49554366	100132677
LOC100132686	chr11	112260265	112261396	100132686
PAXIP1-AS2	chr7	154928498	154949908	100132707
CYP4F30P	chr2	130681228	130691691	100132708
FILNC1	chr6	139854850	139860151	100132735
LOC100132741	chrX	71697196	71706455	100132741
KDM4A-AS1	chr1	43699765	43708138	100132774
LOC100132813	chr8	109644115	109648084	100132813
IPO5P1	chr19	23257255	23274251	100132815
MSC-AS1	chr8	71828167	72118393	100132891
SHISAL2B	chr5	64690308	64718090	100132916
FAM66D	chr8	12115782	12177550	100132923
FAM25BP	chr10	46371139	46375940	100132929
FAM27C	chr9	61854162	61855331	100132948
SMIM9	chrX	154823348	154834662	100132963
LINC00856	chr10	78248740	78551355	100132987
LOC100133077	chr9	137867925	137892570	100133077
FAM25G	chr10	47995355	47999791	100133093
LINC01203	chrX	13335241	13373634	100133123
LINC01001	chr11	127204	138998	100133161
FAM66A	chr8	12362019	12388296	100133172
LINC00240	chr6	26956992	27023924	100133205
LOC100133286	chr21	36069642	36126640	100133286
RSU1P2	chr10	45016080	45147221	100133308
HOXA-AS3	chr7	27129977	27155928	100133311
LOC100133315	chr11	71865509	71928654	100133315
PRO1804	chr17	69232963	69235012	100133319
LINC02171	chr4	3673593	3677855	100133461
MRPL23-AS1	chr11	1983237	1989920	100133545
LINC01134	chr1	3900372	3917225	100133612
CD24	chr6	106969831	106975627	100133941
UXT-AS1	chrX	47658833	47660111	100133957
LINC01816	chr2	70124036	70125317	100133985
MAP3K14-AS1	chr17	45247925	45268630	100133991
UBOX5-AS1	chr20	3106913	3150867	100134015
KDM7A-DT	chr7	140177261	140179640	100134229
LINC01119	chr2	46827864	46859007	100134259
LOC100134317	chr19	36304621	36312668	100134317
LOC100134391	chr17	73737854	73756557	100134391
KCNJ18	chr17	21692523	21704612	100134444
NDUFB2-AS1	chr7	140695336	140697077	100134713
TEN1	chr17	75979220	76000586	100134934
UPK3BL1	chr7	102637025	102642791	100134938
JMJD7	chr15	41828085	41837581	100137047
PLA2G4B	chr15	41836785	41848147	100137049
HDAC5	chr17	44076746	44123702	10014
C17orf99	chr17	78146353	78166177	100141515
LOC100144595	chr2	154435853	154457438	100144595
LINC00029	chr20	63034217	63037028	100144596
LINC01056	chr20	63038011	63053863	100144597
EPHA5-AS1	chr4	65669961	65698029	100144602
CHKB-DT	chr22	50583026	50583877	100144603
LINC00930	chr15	92567818	92572042	100144604
KLLN	chr10	87859161	87863437	100144748
RNU7-1	chr12	6943816	6943878	100147744
TMCO1-AS1	chr1	165768929	165775176	100147773
PDCD6IP	chr3	33798352	33869707	10015
KRTAP20-4	chr21	30620627	30620850	100151643
RNU4ATAC	chr2	121530881	121531007	100151683
RNU6ATAC	chr9	134164439	134164564	100151684
SCARNA9L	chrX	20136066	20136385	100158262
PDCD6	chr5	271621	353856	10016
RNA5S1	chr1	228610268	228646158	100169751
TEX36-AS1	chr10	125574371	125578445	100169752
RNA5S9	chr1	228628148	228628266	100169760
PATE3	chr11	125788111	125791600	100169851
BCL2L10	chr15	52109263	52112775	10017
SRRM5	chr19	43612107	43614487	100170229
ERICH4	chr19	41443158	41444765	100170765
BCL2L11	chr2	111119378	111168447	10018
MIR1224	chr3	184241405	184241489	100187716
MIR1225	chr16	2090195	2090284	100188847
TOMM6	chr6	41787662	41789898	100188893
LINC00426	chr13	30340270	30377145	100188949
LINC00092	chr9	96019732	96027960	100188953
DNMBP-AS1	chr10	99927010	99958381	100188954
DCTN1-AS1	chr2	74385486	74393882	100189589
SH2B3	chr12	111405948	111451623	10019
RAMP2-AS1	chr17	42753914	42761257	100190938
TPT1-AS1	chr13	45341345	45393413	100190939
LINC02418	chr12	130033454	130045057	100190940
C5orf52	chr5	157671553	157680143	100190949
C2CD4D	chr1	151837819	151840557	100191040
ZFHX4-AS1	chr8	76491200	76683278	100192378
PP12613	chr4	121764585	121766814	100192379
FLJ16779	chr20	63253978	63261615	100192386
LINC01634	chr22	18029385	18037968	100192420
LOC100192426	chr18	8360820	8367034	100192426
GNE	chr9	36214441	36277056	10020
HCN4	chr15	73319859	73369264	10021
MANCR	chr10	4650185	4678154	100216001
INSL5	chr1	66797741	66801256	10022
FRAT1	chr10	97319267	97321915	10023
PCED1B-AS1	chr12	47205898	47216456	100233209
TROAP	chr12	49323236	49331731	10024
LOC100240728	chr7	56482105	56483295	100240728
PIGK	chr1	77088990	77219430	10026
LOC100268168	chr5	172954786	172959392	100268168
LINC01432	chr20	22054090	22074654	100270679
CASC11	chr8	127686343	127733967	100270680
LOC100270804	chr20	18794529	18796067	100270804
LINC00940	chr12	1929202	1936574	100271702
ARHGEF33	chr2	38889880	38975449	100271715
LINC00899	chr22	46040266	46044853	100271722
SMG1P3	chr16	21424763	21448567	100271836
ERVV-2	chr19	53044738	53051076	100271846
MEF2B	chr19	19145568	19170289	100271849
AIRN	chr6	160003291	160007664	100271873
RASA4B	chr7	102482445	102616756	100271927
CMC4	chrX	155061622	155071362	100272147
LINC00894	chrX	149938628	150224580	100272228
BCDIN3D-AS1	chr12	49828542	49841143	100286844
VPS13A-AS1	chr9	77176756	77177994	100286938
LOC100287015	chr8	6403551	6406548	100287015
LOC100287036	chr16	89321133	89325110	100287036
LOC100287042	chr17	75271369	75273895	100287042
GACAT2	chr18	8695856	8707621	100287082
TONSL-AS1	chr8	144437675	144439971	100287098
LINC00421	chr13	19345049	19346749	100287114
USP17L10	chr4	9210657	9212249	100287144
WASHC1	chr9	14521	29739	100287171
EML2-AS1	chr19	45641494	45642840	100287177
USP17L11	chr4	9215405	9259716	100287178
USP17L12	chr4	9220152	9264464	100287205
SH3RF3-AS1	chr2	109127327	109128930	100287216
LINC01630	chr18	51391998	51643939	100287225
ZNF729	chr19	22286408	22317176	100287226
USP17L13	chr4	9224896	9226488	100287238
MANSC4	chr12	27762738	27771276	100287284
LINC00941	chr12	30795681	30802711	100287314
USP17L17	chr4	9243879	9245471	100287327
PRSS46P	chr3	46719583	46736429	100287362
POTEB2	chr15	20835372	21877703	100287399
USP17L19	chr4	9253378	9254970	100287404
USP17L20	chr4	9267619	9269211	100287441
SMKR1	chr7	129502479	129512932	100287482
ADPGK-AS1	chr15	72782835	72798199	100287559
LINC00173	chr12	116533422	116536518	100287569
LINC02106	chr5	50969217	50970167	100287592
LOXL1-AS1	chr15	73908071	73928248	100287616
LOC100287704	chr7	63348902	63351774	100287704
ANKRD66	chr6	46746917	46759506	100287718
AP4B1-AS1	chr1	113812379	113901237	100287722
SMIM10L2B-AS1	chrX	135059685	135123952	100287728
LINC00630	chrX	102769161	102885406	100287765
LOC100287792	chr20	37676910	37683234	100287792
LINC00582	chr1	231591292	231612090	100287814
LOC100287834	chr7	63396345	63399209	100287834
LOC100287846	chr8	47190772	47193262	100287846
LINC00994	chr3	64078361	64087363	100287879
LOC100287896	chr11	74493366	74498533	100287896
LGALS8-AS1	chr1	236523052	236524508	100287902
TIMM23	chr10	45972449	46003734	100287932
LOC100287944	chr12	106495958	106774918	100287944
LINC01699	chr1	181236388	181238604	100287948
GS1-279B7.1	chr1	185321157	185335039	100288079
LDLRAD4-AS1	chr18	13419421	13427480	100288122
LOC100288123	chr19	1822089	1824542	100288123
NBPF20	chr1	145289900	145405778	100288142
SLC9A3-AS1	chr5	473236	480665	100288152
LNCOC1	chr8	142702252	142726973	100288181
HMGN3-AS1	chr6	79233718	79236797	100288198
KRTAP22-2	chr21	30590105	30590397	100288287
KRTAP21-3	chr21	30718525	30718777	100288323
NCAM1-AS1	chr11	113269532	113273901	100288346
ERVMER34-1	chr4	52722618	52751640	100288413
LMCD1-AS1	chr3	7954639	8611924	100288428
IL10RB-DT	chr21	33263873	33266260	100288432
MTRNR2L7	chr10	37601440	37602974	100288485
USP17L15	chr4	9234385	9365080	100288520
DUX4	chr4	190173774	190185942	100288687
LIMS4	chr2	110465051	110473075	100288695
LOC100288748	chr8	94637285	94639467	100288748
TMEM239	chr20	2814968	2820284	100288797
LOC100288798	chr12	46383679	46876159	100288798
FRG2C	chr3	75664330	75667220	100288801
CLDN34	chrX	9967358	9968352	100288814
SRGAP3-AS3	chr3	9216895	9219508	100288831
LOC100288846	chr14	39265703	39267061	100288846
LOC100288866	chr17	49505657	49574064	100288866
LOC100288966	chrUn_GL000213v1	108007	139659	100288966
SLC25A25-AS1	chr9	128108581	128118693	100289019
TSPY10	chrY	9338888	9530682	100289087
ATP2A1-AS1	chr16	28878957	28879920	100289092
GS1-124K5.4	chr7	66493706	66495474	100289098
FAM95C	chr9	38540567	38545372	100289137
GNG12-AS1	chr1	67832303	68202987	100289178
TMEM225B	chr7	99558695	99610813	100289187
LINC00624	chr1	147258885	147517875	100289211
TMEM238L	chr17	10794913	10804099	100289255
DNAJC3-DT	chr13	95672835	95676925	100289274
LOC100289333	chr19	12195015	12237767	100289333
MAN1B1-DT	chr9	137084946	137086817	100289341
